(-1.64347,0.493797), (1.4784,-2.28558), (0.495113,-0.550645), (-0.501097,0.492642), (0.492313,1.52033), (0.514537,-1.50778), (-1.49608,0.499417), (-0.504519,-1.49585), (-1.49367,1.5915), (-1.52607,-1.50622), (1.51067,-1.51804), (1.50593,1.50467);
(1.52128,-2.29586), (0.49939,-0.530654), (1.60778,0.495038), (-1.43973,-1.41293), (0.48899,1.50398), (0.514537,-1.50778), (-1.49608,0.499417), (-0.502474,-1.49956), (-1.49367,1.5915), (-1.52607,-1.50622), (1.51067,-1.51804), (1.50593,1.50467);
(-1.39051,0.522051), (1.52128,-2.29586), (0.49939,-0.530654), (1.60084,0.520361), (0.514537,-1.50778), (-1.49608,0.499417), (-0.502474,-1.49956), (-1.43765,-1.44788), (-1.48303,1.53152), (-1.52607,-1.50622), (1.51067,-1.51804), (1.50593,1.50467);
(0.580256,-2.28934), (0.572867,0.400109), (1.52128,-2.29586), (1.58072,-0.527206), (1.54501,0.494458), (0.514537,-1.50778), (-0.502474,-1.49956), (-1.50679,0.495975), (-1.48303,1.53152), (-1.52607,-1.50622), (1.50362,-1.51179), (1.50593,1.50467);
(1.38306,-1.3596), (-1.50072,-1.69857), (-1.46353,-2.29754), (1.52128,-2.29586), (0.514537,-1.50778), (-0.502474,-1.49956), (-1.50679,0.495975), (1.51272,0.502373), (-1.48303,1.53152), (-1.52607,-1.50622), (1.50362,-1.51179), (1.50593,1.50467);
(-0.550487,0.521052), (-1.46353,-2.29754), (1.52128,-2.29586), (0.510102,-1.51179), (-1.50679,0.495975), (-0.506795,-1.50425), (1.51272,0.502373), (1.53848,-1.41046), (-1.48303,1.53152), (-1.51623,-1.50268), (1.50362,-1.51179), (1.50593,1.50467);
(-0.550487,0.521052), (-1.46353,-2.29754), (1.52128,-2.29586), (-1.58454,-1.63125), (0.498446,-1.50092), (-1.50679,0.495975), (-0.506795,-1.50425), (1.51272,0.502373), (-1.48303,1.53152), (-1.51623,-1.50268), (1.50362,-1.51179), (1.50593,1.50467);
(-2.3,-2.3), (1.495,0.349699), (-1.42126,-1.35845), (-1.50536,-2.295), (-0.52462,0.512373), (0.498446,-1.50092), (-0.506795,-1.50425), (1.51272,0.502373), (-1.51999,1.5187), (-1.51623,-1.50268), (1.50593,1.50467), (1.50638,-1.50513);
(-1.42483,0.589897), (-1.50536,-2.295), (-0.52462,0.512373), (-1.49119,-1.36308), (1.64088,-1.56771), (-1.48369,0.44103), (0.498446,-1.50092), (-0.506795,-1.50425), (-1.51543,1.49443), (-1.51623,-1.50268), (1.50593,1.50467), (1.50638,-1.50513);
(-0.343998,-0.552935), (-0.473322,0.647208), (-1.50536,-2.295), (-0.52462,0.512373), (1.63871,-1.4947), (-1.52127,0.533468), (0.498446,-1.50092), (-0.506795,-1.50425), (-1.51543,1.49443), (-1.51623,-1.50268), (1.50593,1.50467), (1.50638,-1.50513);
(-0.468349,-0.608811), (0.56522,-0.509356), (-1.50536,-2.295), (-0.497379,0.50748), (1.63871,-1.4947), (0.498446,-1.50092), (-1.51373,0.507221), (-0.506795,-1.50425), (-1.51543,1.49443), (-1.5143,-1.5091), (1.50593,1.50467), (1.50638,-1.50513);
(-2.24818,-1.47069), (-0.511199,-0.594746), (0.562032,-0.50298), (-1.50536,-2.295), (-0.501142,1.40553), (1.46493,-0.444421), (-1.51373,0.507221), (-0.502381,-1.50855), (-1.51543,1.49443), (-1.5143,-1.5091), (1.50593,1.50467), (1.50638,-1.50513);
(-2.25038,-1.5026), (0.47732,-1.64335), (-1.50536,-2.295), (0.581217,1.51962), (-0.520445,1.4626), (1.4605,-1.41198), (-1.51373,0.507221), (-0.502381,-1.50855), (-1.51543,1.49443), (-1.5143,-1.5091), (1.50593,1.50467), (1.50638,-1.50513);
